Designator,Mid X,Mid Y,Layer,Rotation
C43,48.7916,21.971,TopLayer,0
C42,54.6618,20.9916,TopLayer,90
L6,49.0728,25.2476,TopLayer,270
D2,17.526,28.1686,TopLayer,0
R28,63.9318,15.633,TopLayer,270
C30,64.9478,15.633,TopLayer,270
U10,55.1336,43.504,TopLayer,90
R39,57.6692,35.6748,TopLayer,90
R38,56.512,35.6748,TopLayer,90
R27,55.3549,35.6748,TopLayer,90
R26,54.1977,35.6748,TopLayer,90
R25,54.1974,51.1598,TopLayer,270
R22,55.3546,51.1598,TopLayer,270
R21,56.5118,51.1598,TopLayer,270
R20,57.669,51.1598,TopLayer,270
C41,52.9336,37.604,TopLayer,180
U3,41.9504,21.0137,TopLayer,270
C32,25.9103,39.9954,TopLayer,270
C31,19.8882,40.955,TopLayer,90
R19,10.5784,4.7048,TopLayer,270
R18,11.6251,4.6852,TopLayer,90
Q4,8.0787,5.2832,TopLayer,0
C29,47.5972,40.906,TopLayer,180
U9,24.2311,40.4742,TopLayer,90
U5,21.59,40.4742,TopLayer,270
R12,24.892,33.0166,TopLayer,0
R11,51.7548,18.2705,TopLayer,270
R6,50.7134,18.2705,TopLayer,270
L5,57.5067,21.476,TopLayer,0
C28,51.1706,25.2798,TopLayer,90
C8,50.1038,25.2798,TopLayer,270
C7,58.9799,20.9916,TopLayer,90
C2,56.0081,20.9916,TopLayer,90
S1,64.995,41.7442,TopLayer,90
S2,67.4888,13.492,TopLayer,270
U7,51.9834,21.7249,TopLayer,270
U6,14.7346,18.6572,TopLayer,180
R5,11.7046,14.1344,TopLayer,180
R4,11.2786,18.8606,TopLayer,90
R2,13.6628,14.1298,TopLayer,180
L4,22.607,14.744,TopLayer,180
D13,20.089,19.413,TopLayer,180
D1,11.961,24.3406,TopLayer,180
C40,11.2786,20.9859,TopLayer,90
C39,10.2372,18.8842,TopLayer,90
C38,11.2647,16.9629,TopLayer,90
C37,25.1968,9.0408,TopLayer,90
C36,23.0886,9.0154,TopLayer,90
C27,17.5259,25.5672,TopLayer,180
C24,17.5259,23.6114,TopLayer,180
C1,20.851,21.572,TopLayer,180
D12,7.1398,12,TopLayer,270
D3,7.1398,50,TopLayer,270
R1,11.6107,28.7277,TopLayer,0
U13,22.4819,36.1698,TopLayer,90
R65,16.4401,38.1297,TopLayer,0
R64,16.7541,36.8942,TopLayer,180
R62,16.7541,35.5125,TopLayer,180
R61,16.4401,34.2908,TopLayer,180
D11,10.8688,43.7208,TopLayer,90
D10,10.8688,36.6088,TopLayer,90
D9,13.0278,31.5034,TopLayer,0
R63,14.5079,36.201,TopLayer,270
J1,6.452,31,TopLayer,270
C56,20.0993,33.0168,TopLayer,180
J6,35,56,TopLayer,180
R40,37.1555,23.5228,TopLayer,180
R3,38.0642,21.0137,TopLayer,180
C9,38.175,51.682,TopLayer,270
J2,63.6789,21.476,TopLayer,90
BT1,26.9401,31,BottomLayer,270
C4,35.202,9.126,TopLayer,180
D8,32.8518,36.9436,TopLayer,180
C35,32.4104,39.255,TopLayer,180
C34,35.4993,35.9422,TopLayer,90
U8,32.9692,33.3368,TopLayer,270
R37,10.9992,50.5834,TopLayer,0
R36,10.9992,51.5994,TopLayer,0
R35,17.8216,48.0536,TopLayer,90
R34,17.8216,51.3066,TopLayer,90
R33,16.7802,48.0808,TopLayer,270
R7,16.7802,51.3066,TopLayer,270
Q3,14.1893,48.5616,TopLayer,0
Q2,14.199,51.7264,TopLayer,0
C33,37.7058,24.7361,TopLayer,0
U1,33.043,6.713,TopLayer,180
C6,35.7886,6.2722,TopLayer,270
R32,51.166,12.5347,TopLayer,270
C25,29.487,50.8628,TopLayer,0
X3,42.407,16.3167,TopLayer,0
C26,39.893,16.2385,TopLayer,270
C23,44.8865,16.2385,TopLayer,90
R13,44.0944,25.2798,TopLayer,270
L3,46.4208,19.4897,TopLayer,270
L2,45.4048,20.504,TopLayer,90
L1,46.8762,20.9629,TopLayer,0
C20,47.9194,17.9149,TopLayer,180
C19,47.9194,18.9309,TopLayer,180
C18,47.9448,19.9469,TopLayer,180
C17,48.8066,20.9629,TopLayer,0
C14,42.0965,25.2798,TopLayer,90
C13,43.0953,25.2798,TopLayer,270
C12,41.0972,25.2798,TopLayer,270
U4,31.1634,45.224,TopLayer,0
Q1,53.7716,12.1,TopLayer,180
R30,50.1814,12.5347,TopLayer,90
LS1,61.0362,9.537,TopLayer,270
R10,37.8804,37.3931,TopLayer,270
R9,36.8286,37.3931,TopLayer,270
R24,31.4174,50.8374,TopLayer,180
R23,29.2862,39.2804,TopLayer,90
X2,28.5901,33.9065,TopLayer,90
R15,36.7284,52.1582,TopLayer,180
R14,36.7284,51.193,TopLayer,180
R17,48.2195,50.5513,TopLayer,0
R16,42.0768,38.7879,TopLayer,90
R8,40.461,51.682,TopLayer,270
C11,35.2441,42.9583,TopLayer,270
C10,43.965,38.7978,TopLayer,90
U2,41.1962,45.224,TopLayer,90
C21,47.6119,48.1086,TopLayer,180
C22,48.1957,49.2338,TopLayer,180
X1,48.537,44.4366,TopLayer,90
R31,5.6081,8.0475,TopLayer,270
R29,6.8582,8.0475,TopLayer,270
J9,47.5715,31,TopLayer,180
C5,36.8046,6.2704,TopLayer,270
C3,29.741,6.967,TopLayer,90
C16,48.537,46.9258,TopLayer,0
C15,48.537,41.922,TopLayer,180
