Designator,Mid X,Mid Y,Layer,Rotation
F3,60.1473,53.6302,TopLayer,0
J7,35,55.9,TopLayer,180
D7,59.055,48.133,TopLayer,180
C1,28.5496,5.334,TopLayer,0
C2,24.3081,12.521,TopLayer,270
C3,24.384,8.167,TopLayer,270
C4,22.3904,12.521,TopLayer,270
C5,26.162,7.913,TopLayer,270
C6,36.1348,13.4248,TopLayer,0
C7,36.1348,9.7926,TopLayer,0
C8,28.4224,12.3866,TopLayer,270
C9,46.0502,14.2376,TopLayer,0
C10,45.7708,12.9676,TopLayer,0
C11,43.2054,9.6308,TopLayer,270
C12,42.0624,9.0678,TopLayer,270
C30,27.305,22.772,TopLayer,0
C31,27.305,30.9,TopLayer,0
C32,36.8797,34.2156,TopLayer,90
C33,39.8006,34.2156,TopLayer,270
C34,37.8532,34.2156,TopLayer,270
C35,38.8269,34.2156,TopLayer,270
C36,47.0904,28.78,TopLayer,180
C37,47.0904,26.7605,TopLayer,0
C38,47.0904,25.7508,TopLayer,0
C39,34.9321,34.2156,TopLayer,270
C40,18.1368,46.5328,TopLayer,180
C41,24.9682,38.2016,TopLayer,90
C42,20.4724,38.1762,TopLayer,270
C45,47.1412,20.7028,TopLayer,0
C46,44.5268,24.7389,TopLayer,180
C47,44.5268,27.7529,TopLayer,180
C48,19.3802,35.3314,TopLayer,180
C49,16.7386,35.3314,TopLayer,180
C50,22.8854,45.466,TopLayer,180
C51,15.7734,41.0464,TopLayer,90
C52,18.1368,45.3898,TopLayer,180
C53,29.008,13.9446,TopLayer,0
C54,42.7972,12.6746,TopLayer,180
C55,44.5268,30.767,TopLayer,180
C56,35.9058,34.2156,TopLayer,270
C57,29.6406,30.9,TopLayer,0
D1,16.256,11.596,TopLayer,180
D2,16.1798,14.1224,TopLayer,180
D4,9.8298,50.6476,TopLayer,90
D5,8.0518,55.8038,TopLayer,180
D6,9.779,43.4594,TopLayer,270
F1,15.7734,21.336,TopLayer,180
F2,15.748,17.3736,TopLayer,180
J1,8.9944,10.3636,TopLayer,0
J3,58.764,27.3755,TopLayer,90
J4,6.3732,47.3846,TopLayer,270
J5,6.3732,29.0848,TopLayer,270
L1,35.56,5.5,TopLayer,180
L4,40.9945,34.7998,TopLayer,270
L5,44.2722,5.5,TopLayer,0
Q9,13.5788,42.7306,TopLayer,270
R1,30.7214,12.3866,TopLayer,90
R2,29.572,12.3866,TopLayer,90
R3,27.2733,12.3866,TopLayer,90
R16,32.841,19.2414,TopLayer,270
R17,34.3142,19.2414,TopLayer,270
R18,31.8504,19.2414,TopLayer,270
R20,30.0793,26.7275,TopLayer,270
R21,44.5268,29.7623,TopLayer,180
R22,33.9586,34.2156,TopLayer,90
